Test Type,Transaction ID,Patient ID,Operation,Start Time,End Time,Duration (seconds),Status
FULL_CYCLE,1,CLOUD_FC_20260219_183630_P000001,CREATE,1771526190.262199226,1771526190.263539673,.110124428,SUCCESS
FULL_CYCLE,1,CLOUD_FC_20260219_183630_P000001,CONSENT,1771526190.374353325,1771526190.375811875,.103245088,SUCCESS
FULL_CYCLE,2,CLOUD_FC_20260219_183630_P000002,CREATE,1771526190.496674976,1771526190.497999622,.112502410,SUCCESS
FULL_CYCLE,2,CLOUD_FC_20260219_183630_P000002,CONSENT,1771526190.609834809,1771526190.611436265,.104478032,SUCCESS
FULL_CYCLE,3,CLOUD_FC_20260219_183630_P000003,CREATE,1771526190.730568806,1771526190.732005556,.110563543,SUCCESS
FULL_CYCLE,3,CLOUD_FC_20260219_183630_P000003,CONSENT,1771526190.847570772,1771526190.849097325,.107860949,SUCCESS
FULL_CYCLE,4,CLOUD_FC_20260219_183630_P000004,CREATE,1771526190.967144328,1771526190.968624780,.109731714,SUCCESS
FULL_CYCLE,4,CLOUD_FC_20260219_183630_P000004,CONSENT,1771526191.084575110,1771526191.086134264,.108314465,SUCCESS
FULL_CYCLE,5,CLOUD_FC_20260219_183630_P000005,CREATE,1771526191.208117004,1771526191.209613456,.113181534,SUCCESS
FULL_CYCLE,5,CLOUD_FC_20260219_183630_P000005,CONSENT,1771526191.323328608,1771526191.324881962,.106411499,SUCCESS
FULL_CYCLE,6,CLOUD_FC_20260219_183630_P000006,CREATE,1771526191.459363637,1771526191.460840088,.125762771,SUCCESS
FULL_CYCLE,6,CLOUD_FC_20260219_183630_P000006,CONSENT,1771526191.582745825,1771526191.584168575,.114378375,SUCCESS
FULL_CYCLE,7,CLOUD_FC_20260219_183630_P000007,CREATE,1771526191.705152480,1771526191.706663132,.112768720,SUCCESS
FULL_CYCLE,7,CLOUD_FC_20260219_183630_P000007,CONSENT,1771526191.822781868,1771526191.824213018,.108520471,SUCCESS
FULL_CYCLE,8,CLOUD_FC_20260219_183630_P000008,CREATE,1771526191.946836880,1771526191.948266530,.114351674,SUCCESS
